1	4778	1	0
2	4778	2	0
3	4779	1	0
4	4779	2	0
5	4780	1	0
6	4780	2	0
7	4781	1	0
8	4781	2	0
9	4782	1	0
10	4782	2	0
11	4783	1	0
12	4783	2	0
13	4784	1	0
14	4784	2	0
15	4785	1	0
16	4785	2	0
17	4786	1	0
18	4786	2	0
19	4787	1	0
20	4787	2	0
21	4788	1	0
22	4788	2	0
23	4789	1	0
24	4789	2	0
25	4790	1	0
26	4790	2	0
27	4791	1	0
28	4791	2	0
29	4792	1	0
30	4792	2	0
31	4793	1	0
32	4793	2	0
33	4794	1	0
34	4794	2	0
35	4795	1	0
36	4795	2	0
37	4796	1	0
38	4796	2	0
39	4797	1	0
40	4797	2	0
41	4798	1	0
42	4798	2	0
43	4799	1	0
44	4799	2	0
45	4800	1	0
46	4800	2	0
47	4801	1	0
48	4801	2	0
49	4802	1	0
50	4802	2	0
51	4803	1	0
52	4803	2	0
53	4804	1	0
54	4804	2	0
55	4805	1	0
56	4805	2	0
57	4806	1	0
58	4806	2	0
59	4807	1	0
60	4807	2	0
61	4808	1	0
62	4808	2	0
63	4809	1	0
64	4809	2	0
65	4810	1	0
66	4810	2	0
67	4811	1	0
68	4811	2	0
69	4812	1	0
70	4812	2	0
71	4813	1	0
72	4813	2	0
73	4814	1	0
74	4814	2	0
75	4815	1	0
76	4815	2	0
77	4816	1	0
78	4816	2	0
79	4817	1	0
80	4817	2	0
81	4818	1	0
82	4818	2	0
83	4819	1	0
84	4819	2	0
85	4820	1	0
86	4820	2	0
87	4821	1	0
88	4821	2	0
89	4822	1	0
90	4822	2	0
91	4823	1	0
92	4823	2	0
93	4824	1	0
94	4824	2	0
95	4825	1	0
96	4825	2	0
97	4826	1	0
98	4826	2	0
99	4827	1	0
100	4827	2	0
101	4828	1	0
102	4828	2	0
103	4829	1	0
104	4829	2	0
105	4830	1	0
106	4830	2	0
107	4831	1	0
108	4831	2	0
109	4832	1	0
110	4832	2	0
111	4833	1	0
112	4833	2	0
113	4834	1	0
114	4834	2	0
115	4835	1	0
116	4835	2	0
117	4836	1	0
118	4836	2	0
119	4837	1	0
120	4837	2	0
121	4838	1	0
122	4838	2	0
123	4839	1	0
124	4839	2	0
125	4840	1	0
126	4840	2	0
127	4841	1	0
128	4841	2	0
129	4842	1	0
130	4842	2	0
131	4843	1	0
132	4843	2	0
133	4844	1	0
134	4844	2	0
135	4845	1	0
136	4845	2	0
137	4846	1	0
138	4846	2	0
139	4847	1	0
140	4847	2	0
141	4848	1	0
142	4848	2	0
143	4849	1	0
144	4849	2	0
145	4850	1	0
146	4850	2	0
147	4851	1	0
148	4851	2	0
149	4852	1	0
150	4852	2	0
151	4853	1	0
152	4853	2	0
153	4854	1	0
154	4854	2	0
155	4855	1	0
156	4855	2	0
157	4856	1	0
158	4856	2	0
159	4857	1	0
160	4857	2	0
161	4858	1	0
162	4858	2	0
163	4859	1	0
164	4859	2	0
165	4860	1	0
166	4860	2	0
167	4861	1	0
168	4861	2	0
169	4862	1	0
170	4862	2	0
171	4863	1	0
172	4863	2	0
173	4864	1	0
174	4864	2	0
175	4865	1	0
176	4865	2	0
177	4866	1	0
178	4866	2	0
179	4867	1	0
180	4867	2	0
181	4868	1	0
182	4868	2	0
183	4869	1	0
184	4869	2	0
185	4870	1	0
186	4870	2	0
187	4871	1	0
188	4871	2	0
189	4872	1	0
190	4872	2	0
191	4873	1	0
192	4873	2	0
193	4874	1	0
194	4874	2	0
195	4875	1	0
196	4875	2	0
197	4876	1	0
198	4876	2	0
199	4710	1	0
200	4710	2	0
201	4711	1	0
202	4711	2	0
203	4712	1	0
204	4712	2	0
205	4713	1	0
206	4713	2	0
207	4714	1	0
208	4714	2	0
209	4715	1	0
210	4715	2	0
211	4716	1	0
212	4716	2	0
213	4717	1	0
214	4717	2	0
215	4718	1	0
216	4718	2	0
217	4719	1	0
218	4719	2	0
219	4720	1	0
220	4720	2	0
221	4721	1	0
222	4721	2	0
223	4722	1	0
224	4722	2	0
225	4723	1	0
226	4723	2	0
227	4724	1	0
228	4724	2	0
