42	7	1	单选题	20	1	1
43	7	3	填空题	20	2	1
44	7	4	判断题	20	3	1
45	7	7	程序设计写函数	20	4	1
46	7	8	程序设计题	20	5	1
47	8	8	1111	100	1	1
48	9	1	单项选择题	25	1	25
49	9	2	多项选择题	5	2	5
50	9	3	填空题	20	3	8
51	9	4	判定题	6	4	3
52	9	5	简答题	8	5	1
53	9	8	程序设计题	36	6	1
54	10	1	单项选择题	55	1	17
56	10	3	填空题	10	2	1
57	10	4	判断题	5	3	1
58	10	5	简答题	30	4	2
59	11	1	单项选择题	40	1	20
60	11	2	多项选择题	35	2	7
61	11	4	判断题	16	3	8
62	11	5	简答题	9	4	1
64	13	1	单项选择题	20	1	20
65	13	2	多项选择题	20	2	10
66	13	3	填空题	20	3	9
67	13	4	判断题	10	4	10
68	13	8	程序设计题	30	5	3
69	14	1	单选题	80	1	10
70	14	3	填空题	20	2	2
72	15	8	编程题	100	1	3
73	16	1	单选题	50	1	10
74	16	5	简答题	50	2	3
75	17	1	单项选择题	65	1	13
76	17	2	多项选择题	20	2	4
77	17	3	填空题	6	3	2
78	17	4	判断题	9	4	3
79	18	8	程序设计题	100	1	2
80	19	1	单项选择	100	1	20
81	20	8	编程题	100	1	3
82	21	1	单项选择题	100	1	10
83	22	8	面向对象程序设计题	100	1	3
84	23	8	程序设计	100	1	2
86	27	8	字符串处理实训	70	1	2
87	27	9	日期对象处理实训	30	2	1
88	28	1	单项选择	32	1	8
89	28	4	判断题	25	2	5
90	28	3	填空题	50	3	5
91	29	8	程序设计	100	1	2
92	30	8	JAVA程序	100	1	2
93	31	8	JAVA程序设计	100	1	3
94	32	1	单项选择	72	1	24
95	32	4	判断题	6	2	3
96	32	7	分析题	22	3	1
99	33	5	简答题	15	1	3
100	33	7	分析说明题	10	2	1
101	34	9	完善设计题	100	1	1
102	35	1	单项选择题	30	1	10
103	35	3	填空题	24	2	8
104	35	4	判定题	15	3	5
105	35	7	测试分析题	31	4	1
106	36	1	单选题	18	1	9
107	36	3	填空题	30	2	5
108	36	7	程序分析题	52	3	5
109	37	4	判断题	16	1	8
110	37	1	单选题	30	2	10
111	37	3	填空题	24	3	3
112	37	7	分析题	30	4	3
113	38	1		4	1	2
114	38	3		44	2	6
115	39	1	单项选择题	37	1	11
116	39	2	多项选择题	5	2	1
117	39	3	填空题	44	3	8
118	39	4	判断题	4	4	1
119	39	5	简答题	10	5	2
120	40	1	单选题	27	1	9
121	40	3	填空题	28	2	5
122	40	7	分析题	45	3	4
123	41	1		6	1	3
124	41	3		6	2	3
125	41	4		34	3	17
126	42	1	单项选择题	48	1	16
127	42	2	多项选择题	10	2	2
128	42	3	填空题	5	3	1
129	42	4	判断题	12	4	6
130	42	5	简述题	25	5	3
131	43	8	数组项目	40	1	1
132	43	9	容器项目	60	2	1
133	44	4		34	1	17
134	45	1	单选题	18	1	9
135	45	3	填空题	26	2	4
136	45	7	分析题	56	3	7
137	46	1	单项选择题	32	1	16
138	46	3	填空题	34	2	7
139	46	4	判定题	14	3	7
